description,price,rating,review_count,url
ZTE ZMAX PRO Z981 4G LTE 13MP Smartphone (Metro PCS/T-Mobile) (Renewed),$249.00,3.1 out of 5 stars,47,https://www.amazon.com/ZTE-Smartphone-Metro-T-Mobile-Renewed/dp/B07J1XT9S2
"Samsung Galaxy S21 Ultra 5G | G998U Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 108MP High Res | 128GB, Phantom Black - Verizon Locked - (Renewed)",$769.95,4.5 out of 5 stars,41,https://www.amazon.com/Samsung-Galaxy-S21-Ultra-5G/dp/B093DS5ZGK
"Xiaomi Redmi 9C Smartphone, 3 GB + 64 GB, 6.53 ""HD + Dot Drop Display 5000mAh (typ), con Sblocco Faccial AI, 13 MP, Tripla Fotocamera, Blu (Twilight Blue)","$189.97,$199.87",4.6 out of 5 stars,315,https://www.amazon.com/Xiaomi-Redmi-9C-Unlocked-International/dp/B08FCF43S2
"Rugged Smartphone Unlocked OUKITEL WP17 (Latest), 8300mAh Battery Cell Phones, Night Vision Camera with 64 MP Rear Camera, Android 11 with 8GB RAM + 128GB ROM, 6.78“FHD+ Display Mobile Phone",$319.99,4.1 out of 5 stars,45,https://www.amazon.com/Smartphone-Unlocked-OUKITEL-8300mAh-Battery/dp/B09JP25FLC
"Smartphone,5.45 inch HD Full Screen face Recognition and Fingerprint Unlock Smartphone,2MP + 5MP,Dual Card Dual Standby,Blue",,5.0 out of 5 stars,1,https://www.amazon.com/Smartphone-Screen-Recognition-Fingerprint-Standby/dp/B08ZRVZJWS
"(Renewed) Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked","$513.50,$799.99",4.3 out of 5 stars,503,https://www.amazon.com/Samsung-Galaxy-S21-5G-Version/dp/B08VLMQ3KS
"OnePlus 7 Pro (256GB) GSM Unlocked 6.7"" Display Android Phone - Mirror Grey (Renewed)",$334.99,4.1 out of 5 stars,90,https://www.amazon.com/OnePlus-Pro-Dual-Sim-Unlocked-SmartPhone/dp/B07ZDJMY93
"Apple iPhone XR, Boost Mobile, 64GB - White (Renewed)",$339.99,4.0 out of 5 stars,57,https://www.amazon.com/Apple-iPhone-Boost-Mobile-64GB/dp/B07T2MC2L4
Samsung Galaxy A10S A107M 32GB Unlocked GSM DUOS Phone w/Dual 13MP & 2MP Camera (International Variant/US Compatible LTE) – Black,$194.99,4.3 out of 5 stars,"1,592",https://www.amazon.com/Samsung-Infinity-V-Digitel-Factory-Unlocked/dp/B07S7DYDPC
"MINIKID Unlocked Smartphones, Pro Max Android 9.1 Smart Phone HD Full Screen Phone, Dual SIM Unlocked Cell Phone, 4+32G RAM 6.8inch Water Drop Screen Touch Screen Mobile Cell Phone (Black)","$59.99,$69.99",3.8 out of 5 stars,3,https://www.amazon.com/MINIKID-Unlocked-Smartphones-Android-6-8inch/dp/B09BBJDXFQ
"iPhone 5s, Factory Unlocked, 16GB ATT, Tmobile, Sprint - Gray",,3.6 out of 5 stars,148,https://www.amazon.com/iPhone-Factory-Unlocked-Tmobile-Sprint/dp/B08D3YS2DK
"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black for AT&T (Renewed)",$856.89,4.7 out of 5 stars,22,https://www.amazon.com/Samsung-Galaxy-S21-Ultra-5G/dp/B0947B285Z
"Ulefone Note 12P 4G Unlocked Cell Phones, 6.82"" HD+ Waterdrop Screen, 7700mAh Battery, OTG, 13MP Triple Rear Camera, Android 11 Octa-Core 4GB + 64GB, Face Unlock Finger Reader Unlocked Phones - Black",$159.99,4.0 out of 5 stars,225,https://www.amazon.com/Ulefone-Note-12P-Waterdrop-Octa-Core/dp/B09K7684NC
"Samsung Galaxy S21 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 128GB, Phantom Violet (SM-G991UZVAXAA) - (Renewed)",$564.99,4.3 out of 5 stars,195,https://www.amazon.com/Samsung-Galaxy-S21-5G-SM-G991UZVAXAA/dp/B0933GDLZZ
"Unlocked Smartphones, Blackview A80 Plus, Dual sim Unlocked Cell Phones, Bundle Android 10 OS 4GB+64GB ROM, 6.5"" HD+, Fingerprint Face Detection, 4680mAh Capacity Battery, 4G tmobile Android Phone",$139.99,3.9 out of 5 stars,151,https://www.amazon.com/Unlocked-Smartphones-Blackview-Fingerprint-Detection/dp/B0932Z6126
"Samsung Galaxy S21 5G, US Version, 256GB, Phantom Gray - Unlocked (Renewed)","$619.00,$975.00",4.5 out of 5 stars,198,https://www.amazon.com/Samsung-Galaxy-S21-5G-Version/dp/B08WF93R89
"Samsung Galaxy S21 Ultra 5G | G998U Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 108MP High Res | 128GB, T-Mobile Locked, (Renewed)","$769.80,$825.00",4.5 out of 5 stars,111,https://www.amazon.com/Samsung-Galaxy-S21-Ultra-5G/dp/B093CP6CLX
